"set","n","result","instance","D","runtime"
"GBRL",100,82,"100_ep0.125_0_gilbert_4.in",5,189.1406
"GBRL",100,77,"100_ep0.125_0_gilbert_4.in",6,182.9891
"GBRL",100,72,"100_ep0.125_0_gilbert_4.in",7,54.7129
"GBRL",100,65,"100_ep0.125_0_gilbert_4.in",8,54.5664
"GBRL",100,59,"100_ep0.125_0_gilbert_4.in",9,327.8947
"GBRL",100,45,"100_ep0.125_0_gilbert_4.in",10,242.4239
"GBRL",100,96,"100_ep0.1_0_gilbert_9.in",1,159.7093
"GBRL",100,91,"100_ep0.1_0_gilbert_9.in",2,185.2241
"GBRL",100,87,"100_ep0.1_0_gilbert_9.in",3,194.2423
"GBRL",100,82,"100_ep0.1_0_gilbert_9.in",4,103.4054
"GBRL",100,77,"100_ep0.1_0_gilbert_9.in",5,140.4803
"GBRL",100,72,"100_ep0.1_0_gilbert_9.in",6,310.2393
"GBRL",100,66,"100_ep0.1_0_gilbert_9.in",7,787.1366
"GBRL",100,57,"100_ep0.1_0_gilbert_9.in",8,806.4135
"GBRL",100,19,"100_ep0.1_0_gilbert_9.in",9,38.1748
"GBRL",100,3,"100_ep0.1_0_gilbert_9.in",10,0.3702
"GBRL",100,97,"100_ep0.1_0_gilbert_1.in",1,32.7957
"GBRL",100,93,"100_ep0.1_0_gilbert_1.in",2,64.2658
"GBRL",100,89,"100_ep0.1_0_gilbert_1.in",3,169.2726
"GBRL",100,84,"100_ep0.1_0_gilbert_1.in",4,47.0733
"GBRL",100,79,"100_ep0.1_0_gilbert_1.in",5,45.3205
"GBRL",100,74,"100_ep0.1_0_gilbert_1.in",6,49.0717
"GBRL",100,68,"100_ep0.1_0_gilbert_1.in",7,36.6695
"GBRL",100,62,"100_ep0.1_0_gilbert_1.in",8,117.5491
"GBRL",100,54,"100_ep0.1_0_gilbert_1.in",9,294.0132
"GBRL",100,37,"100_ep0.1_0_gilbert_1.in",10,93.0292
"GBRL",100,96,"100_ep0.1_0_gilbert_2.in",1,58.4786
"GBRL",100,91,"100_ep0.1_0_gilbert_2.in",2,113.5492
"GBRL",100,86,"100_ep0.1_0_gilbert_2.in",3,238.6992
"GBRL",100,81,"100_ep0.1_0_gilbert_2.in",4,459.5122
"GBRL",100,76,"100_ep0.1_0_gilbert_2.in",5,843.6162
"GBRL",100,67,"100_ep0.1_0_gilbert_2.in",6,506.8244
"GBRL",100,14,"100_ep0.1_0_gilbert_2.in",7,54.9034
"GBRL",100,2,"100_ep0.1_0_gilbert_2.in",8,0.496
"GBRL",100,1,"100_ep0.1_0_gilbert_2.in",9,0.131
"GBRL",100,1,"100_ep0.1_0_gilbert_2.in",10,0.0822
"GBRL",100,94,"100_ep0.075_0_gilbert_8.in",1,201.6137
"GBRL",100,89,"100_ep0.075_0_gilbert_8.in",2,235.2729
"GBRL",100,83,"100_ep0.075_0_gilbert_8.in",3,611.7904
"GBRL",100,75,"100_ep0.075_0_gilbert_8.in",4,521.6323
"GBRL",100,62,"100_ep0.075_0_gilbert_8.in",5,705.3329
"GBRL",100,2,"100_ep0.075_0_gilbert_8.in",6,0.411
"GBRL",100,1,"100_ep0.075_0_gilbert_8.in",7,0.0821
"GBRL",100,1,"100_ep0.075_0_gilbert_8.in",8,0.0615
