"set","n","result","instance","D","runtime"
"BBGRL",100,89,"100_ep0.075_0_gilbert_4.in",2,234.8318
"BBGRL",100,83,"100_ep0.075_0_gilbert_4.in",3,502.7025
"BBGRL",100,75,"100_ep0.075_0_gilbert_4.in",4,206.5299
"BBGRL",100,64,"100_ep0.075_0_gilbert_4.in",5,504.409
"BBGRL",100,5,"100_ep0.075_0_gilbert_4.in",6,1.9542
"BBGRL",100,2,"100_ep0.075_0_gilbert_4.in",7,0.2567
"BBGRL",100,1,"100_ep0.075_0_gilbert_4.in",8,0.0585
"BBGRL",100,1,"100_ep0.075_0_gilbert_4.in",9,0.0598
"BBGRL",100,1,"100_ep0.075_0_gilbert_4.in",10,0.0466
"BBGRL",100,89,"100_ep0.05_0_gilbert_10.in",1,268.5603
"BBGRL",100,80,"100_ep0.05_0_gilbert_10.in",2,149.7365
"BBGRL",100,66,"100_ep0.05_0_gilbert_10.in",3,96.7725
"BBGRL",100,7,"100_ep0.05_0_gilbert_10.in",4,3.3039
"BBGRL",100,3,"100_ep0.05_0_gilbert_10.in",5,0.5623
"BBGRL",100,2,"100_ep0.05_0_gilbert_10.in",6,0.212
"BBGRL",100,1,"100_ep0.05_0_gilbert_10.in",7,0.1351
"BBGRL",100,1,"100_ep0.05_0_gilbert_10.in",8,0.1166
"BBGRL",100,1,"100_ep0.05_0_gilbert_10.in",9,0.1067
"BBGRL",100,1,"100_ep0.05_0_gilbert_10.in",10,0.0863
"BBGRL",100,90,"100_ep0.05_0_gilbert_7.in",1,597.8621
"BBGRL",100,4,"100_ep0.05_0_gilbert_7.in",2,2.4206
"BBGRL",100,1,"100_ep0.05_0_gilbert_7.in",3,0.1365
"BBGRL",100,1,"100_ep0.05_0_gilbert_7.in",4,0.0922
"BBGRL",100,1,"100_ep0.05_0_gilbert_7.in",5,0.0809
"BBGRL",100,1,"100_ep0.05_0_gilbert_7.in",6,0.0713
"BBGRL",100,1,"100_ep0.05_0_gilbert_7.in",7,0.0625
"BBGRL",100,1,"100_ep0.05_0_gilbert_7.in",8,0.0448
"BBGRL",100,1,"100_ep0.05_0_gilbert_7.in",9,0.0458
"BBGRL",100,1,"100_ep0.05_0_gilbert_7.in",10,0.0331
"BBGRL",100,92,"100_ep0.05_0_gilbert_6.in",1,344.3206
"BBGRL",100,83,"100_ep0.05_0_gilbert_6.in",2,209.2042
"BBGRL",100,68,"100_ep0.05_0_gilbert_6.in",3,106.4607
"BBGRL",100,4,"100_ep0.05_0_gilbert_6.in",4,1.7295
"BBGRL",100,2,"100_ep0.05_0_gilbert_6.in",5,0.2361
"BBGRL",100,1,"100_ep0.05_0_gilbert_6.in",6,0.0625
"BBGRL",100,1,"100_ep0.05_0_gilbert_6.in",7,0.059
"BBGRL",100,1,"100_ep0.05_0_gilbert_6.in",8,0.0503
"BBGRL",100,1,"100_ep0.05_0_gilbert_6.in",9,0.049
"BBGRL",100,1,"100_ep0.05_0_gilbert_6.in",10,0.0349
"BBGRL",100,96,"100_ep0.1_0_gilbert_9.in",1,159.872
"BBGRL",100,91,"100_ep0.1_0_gilbert_9.in",2,185.5267
"BBGRL",100,87,"100_ep0.1_0_gilbert_9.in",3,195.6908
"BBGRL",100,82,"100_ep0.1_0_gilbert_9.in",4,102.4497
"BBGRL",100,77,"100_ep0.1_0_gilbert_9.in",5,144.1361
"BBGRL",100,72,"100_ep0.1_0_gilbert_9.in",6,317.4835
"BBGRL",100,66,"100_ep0.1_0_gilbert_9.in",7,791.5459
"BBGRL",100,57,"100_ep0.1_0_gilbert_9.in",8,812.5677
"BBGRL",100,19,"100_ep0.1_0_gilbert_9.in",9,37.7463
"BBGRL",100,3,"100_ep0.1_0_gilbert_9.in",10,0.3625
"BBGRL",100,97,"100_ep0.1_0_gilbert_1.in",1,32.3394
"BBGRL",100,93,"100_ep0.1_0_gilbert_1.in",2,64.1068
"BBGRL",100,89,"100_ep0.1_0_gilbert_1.in",3,175.8766
"BBGRL",100,84,"100_ep0.1_0_gilbert_1.in",4,49.8411
"BBGRL",100,79,"100_ep0.1_0_gilbert_1.in",5,45.8004
"BBGRL",100,74,"100_ep0.1_0_gilbert_1.in",6,46.2391
"BBGRL",100,68,"100_ep0.1_0_gilbert_1.in",7,36.9479
"BBGRL",100,62,"100_ep0.1_0_gilbert_1.in",8,117.4812
"BBGRL",100,54,"100_ep0.1_0_gilbert_1.in",9,292.873
"BBGRL",100,37,"100_ep0.1_0_gilbert_1.in",10,94.1341
"BBGRL",100,96,"100_ep0.1_0_gilbert_2.in",1,58.3051
"BBGRL",100,91,"100_ep0.1_0_gilbert_2.in",2,114.4732
"BBGRL",100,86,"100_ep0.1_0_gilbert_2.in",3,245.0805
"BBGRL",100,81,"100_ep0.1_0_gilbert_2.in",4,479.3155
"BBGRL",100,76,"100_ep0.1_0_gilbert_2.in",5,847.1738
"BBGRL",100,67,"100_ep0.1_0_gilbert_2.in",6,509.1355
"BBGRL",100,14,"100_ep0.1_0_gilbert_2.in",7,54.766
"BBGRL",100,2,"100_ep0.1_0_gilbert_2.in",8,0.4981
"BBGRL",100,1,"100_ep0.1_0_gilbert_2.in",9,0.131
"BBGRL",100,1,"100_ep0.1_0_gilbert_2.in",10,0.1103
"BBGRL",100,94,"100_ep0.075_0_gilbert_8.in",1,196.9699
"BBGRL",100,89,"100_ep0.075_0_gilbert_8.in",2,235.7634
"BBGRL",100,83,"100_ep0.075_0_gilbert_8.in",3,614.5546
"BBGRL",100,75,"100_ep0.075_0_gilbert_8.in",4,526.0619
"BBGRL",100,62,"100_ep0.075_0_gilbert_8.in",5,705.8369
"BBGRL",100,2,"100_ep0.075_0_gilbert_8.in",6,0.3633
"BBGRL",100,1,"100_ep0.075_0_gilbert_8.in",7,0.0719
"BBGRL",100,1,"100_ep0.075_0_gilbert_8.in",8,0.0615
"BBGRL",100,1,"100_ep0.075_0_gilbert_8.in",9,0.0712
"BBGRL",100,1,"100_ep0.075_0_gilbert_8.in",10,0.052
"BBGRL",100,94,"100_ep0.075_0_gilbert_1.in",1,118.8107
"BBGRL",100,89,"100_ep0.075_0_gilbert_1.in",2,105.7344
"BBGRL",100,84,"100_ep0.075_0_gilbert_1.in",3,280.1134
"BBGRL",100,77,"100_ep0.075_0_gilbert_1.in",4,396.972
"BBGRL",100,69,"100_ep0.075_0_gilbert_1.in",5,332.5274
"BBGRL",100,59,"100_ep0.075_0_gilbert_1.in",6,706.6558
"BBGRL",100,6,"100_ep0.075_0_gilbert_1.in",7,0.7778
"BBGRL",100,3,"100_ep0.075_0_gilbert_1.in",8,0.2969
"BBGRL",100,2,"100_ep0.075_0_gilbert_1.in",9,0.2055
