"set","n","result","instance","D","runtime","seed"
"GBRL",1000,730,"1000_r0.065_0_geom_7.gin",2,359.1792,1504994709950227968
"GBRL",1000,726,"1000_r0.065_0_geom_7.gin",3,359.4885,1504995070928612864
"GBRL",1000,830,"1000_r0.065_0_geom_7.gin",4,359.1974,1504995432467354112
"GBRL",1000,791,"1000_r0.065_0_geom_7.gin",5,359.0356,1504995793461610240
"GBRL",1000,9,"1000_r0.065_0_geom_7.gin",6,83.8865,1504996154375188480
"GBRL",1000,6,"1000_r0.065_0_geom_7.gin",7,78.6885,1504996240287943168
"GBRL",1000,5,"1000_r0.065_0_geom_7.gin",8,75.641,1504996321289794560
"GBRL",1000,4,"1000_r0.065_0_geom_7.gin",9,55.9987,1504996399035624960
"GBRL",1000,3,"1000_r0.065_0_geom_7.gin",10,21.4104,1504996457020700416
"GBRL",1000,111,"1000_r0.05_0_geom_7.gin",1,359.795,1504996480302070784
"GBRL",1000,19,"1000_r0.05_0_geom_7.gin",2,68.1341,1504996841895342592
"GBRL",1000,10,"1000_r0.05_0_geom_7.gin",3,66.3219,1504996912015567360
"GBRL",1000,4,"1000_r0.05_0_geom_7.gin",4,43.0216,1504996980369503744
"GBRL",1000,3,"1000_r0.05_0_geom_7.gin",5,18.0539,1504997025514783232
"GBRL",1000,2,"1000_r0.05_0_geom_7.gin",6,8.2588,1504997045802240000
"GBRL",1000,1,"1000_r0.05_0_geom_7.gin",7,6.4487,1504997056285211648
"GBRL",1000,1,"1000_r0.05_0_geom_7.gin",8,5.8651,1504997064923477760
"GBRL",1000,1,"1000_r0.05_0_geom_7.gin",9,6.3503,1504997072821253376
"GBRL",1000,1,"1000_r0.05_0_geom_7.gin",10,6.1542,1504997081003468544
"GBRL",1000,903,"1000_r0.058_0_geom_10.gin",1,363.012,1504997089392768512
"GBRL",1000,27,"1000_r0.058_0_geom_10.gin",2,78.8916,1504997454446026240
"GBRL",1000,3,"1000_r0.058_0_geom_10.gin",3,44.8192,1504997535386271488
"GBRL",1000,2,"1000_r0.058_0_geom_10.gin",4,19.5052,1504997582300162816
"GBRL",1000,1,"1000_r0.058_0_geom_10.gin",5,6.0918,1504997603592137472
"GBRL",1000,1,"1000_r0.058_0_geom_10.gin",6,7.2408,1504997611558687232
"GBRL",1000,1,"1000_r0.058_0_geom_10.gin",7,6.8921,1504997620822375936
"GBRL",1000,1,"1000_r0.058_0_geom_10.gin",8,6.5472,1504997629892062976
"GBRL",1000,1,"1000_r0.058_0_geom_10.gin",9,6.6013,1504997638530476544
"GBRL",1000,1,"1000_r0.058_0_geom_10.gin",10,7.5012,1504997647377073408
"GBRL",1000,857,"1000_r0.058_0_geom_1.gin",1,371.5047,1504997657001179648
"GBRL",1000,50,"1000_r0.058_0_geom_1.gin",2,359.6124,1504998030331497472
"GBRL",1000,31,"1000_r0.058_0_geom_1.gin",3,359.6249,1504998391972760320
"GBRL",1000,21,"1000_r0.058_0_geom_1.gin",4,83.0441,1504998753534910976
"GBRL",1000,14,"1000_r0.058_0_geom_1.gin",5,72.8309,1504998838392585216
"GBRL",1000,10,"1000_r0.058_0_geom_1.gin",6,68.3132,1504998913261128192
"GBRL",1000,7,"1000_r0.058_0_geom_1.gin",7,51.4478,1504998983360272384
"GBRL",1000,6,"1000_r0.058_0_geom_1.gin",8,32.3493,1504999036849266688
"GBRL",1000,5,"1000_r0.058_0_geom_1.gin",9,16.573,1504999071226255616
"GBRL",1000,4,"1000_r0.058_0_geom_1.gin",10,10.857,1504999089837914624
"GBRL",1000,13,"1000_r0.05_0_geom_8.gin",1,65.61,1504999102910266624
