"set","n","result","instance","D","runtime","seed"
"GEN-ER",150,129,"150_ep0.125_degree_erdos_8.in",6,600.108,1512129232333033728
"GEN-ER",150,125,"150_ep0.125_degree_erdos_8.in",7,600.1096,1512129832459194112
"GEN-ER",150,122,"150_ep0.125_degree_erdos_8.in",8,600.2018,1512130432588862464
"GEN-ER",150,118,"150_ep0.125_degree_erdos_8.in",9,600.1462,1512131032807321088
"GEN-ER",150,114,"150_ep0.125_degree_erdos_8.in",10,600.1514,1512131632970115584
"GEN-ER",150,146,"150_ep0.1_degree_erdos_5.in",1,4.9036,1512132233138921216
"GEN-ER",150,142,"150_ep0.1_degree_erdos_5.in",2,8.8522,1512132238062519040
"GEN-ER",150,137,"150_ep0.1_degree_erdos_5.in",3,37.2686,1512132246945036800
"GEN-ER",150,132,"150_ep0.1_degree_erdos_5.in",4,82.0024,1512132284241058304
"GEN-ER",150,128,"150_ep0.1_degree_erdos_5.in",5,96.6763,1512132366264220416
"GEN-ER",150,123,"150_ep0.1_degree_erdos_5.in",6,119.0648,1512132462959919616
"GEN-ER",150,118,"150_ep0.1_degree_erdos_5.in",7,449.3407,1512132582044512256
"GEN-ER",150,113,"150_ep0.1_degree_erdos_5.in",8,584.7318,1512133031404893184
"GEN-ER",150,108,"150_ep0.1_degree_erdos_5.in",9,600.1195,1512133616159696384
"GEN-ER",150,103,"150_ep0.1_degree_erdos_5.in",10,600.1489,1512134216303932416
"GEN-ER",150,145,"150_ep0.075_degree_erdos_10.in",1,5.1015,1512134816473177856
"GEN-ER",150,140,"150_ep0.075_degree_erdos_10.in",2,36.1889,1512134821605025536
"GEN-ER",150,135,"150_ep0.075_degree_erdos_10.in",3,243.9924,1512134857815941120
"GEN-ER",150,130,"150_ep0.075_degree_erdos_10.in",4,600.0797,1512135101827267072
"GEN-ER",150,124,"150_ep0.075_degree_erdos_10.in",5,600.069,1512135701922692352
"GEN-ER",150,117,"150_ep0.075_degree_erdos_10.in",6,600.0778,1512136302010954752
"GEN-ER",150,108,"150_ep0.075_degree_erdos_10.in",7,600.0853,1512136902105245696
"GEN-ER",150,99,"150_ep0.075_degree_erdos_10.in",8,600.1118,1512137502210241024
"GEN-ER",150,90,"150_ep0.075_degree_erdos_10.in",9,600.1093,1512138102342059520
"GEN-ER",150,24,"150_ep0.075_degree_erdos_10.in",10,583.7873,1512138702473894400
"GEN-ER",150,147,"150_ep0.125_degree_erdos_1.in",1,5.3678,1512139286277449472
"GEN-ER",150,143,"150_ep0.125_degree_erdos_1.in",2,9.2252,1512139291675542016
"GEN-ER",150,140,"150_ep0.125_degree_erdos_1.in",3,70.5399,1512139300916799232
"GEN-ER",150,136,"150_ep0.125_degree_erdos_1.in",4,114.0095,1512139371476794880
"GEN-ER",150,133,"150_ep0.125_degree_erdos_1.in",5,455.4431,1512139485506043136
"GEN-ER",150,129,"150_ep0.125_degree_erdos_1.in",6,600.0933,1512139940968961024
"GEN-ER",150,126,"150_ep0.125_degree_erdos_1.in",7,600.1442,1512140541078707456
"GEN-ER",150,122,"150_ep0.125_degree_erdos_1.in",8,600.1555,1512141141239404800
"GEN-ER",150,117,"150_ep0.125_degree_erdos_1.in",9,600.1701,1512141741416449024
"GEN-ER",150,113,"150_ep0.125_degree_erdos_1.in",10,600.0957,1512142341608940032
"GEN-ER",150,147,"150_ep0.125_degree_erdos_4.in",1,4.7912,1512142941725020672
"GEN-ER",150,143,"150_ep0.125_degree_erdos_4.in",2,5.6972,1512142946532129280
"GEN-ER",150,140,"150_ep0.125_degree_erdos_4.in",3,24.3137,1512142952259750656
"GEN-ER",150,136,"150_ep0.125_degree_erdos_4.in",4,95.2002,1512142976593918976
"GEN-ER",150,132,"150_ep0.125_degree_erdos_4.in",5,212.2199,1512143071814060032
"GEN-ER",150,129,"150_ep0.125_degree_erdos_4.in",6,535.5641,1512143284051466496
"GEN-ER",150,125,"150_ep0.125_degree_erdos_4.in",7,600.0932,1512143819635492096
"GEN-ER",150,121,"150_ep0.125_degree_erdos_4.in",8,600.0969,1512144419747960832
"GEN-ER",150,117,"150_ep0.125_degree_erdos_4.in",9,600.1911,1512145019866769920
"GEN-ER",150,113,"150_ep0.125_degree_erdos_4.in",10,600.087,1512145620077774848
"GEN-ER",150,144,"150_ep0.075_degree_erdos_7.in",1,4.8166,1512146220181512448
"GEN-ER",150,139,"150_ep0.075_degree_erdos_7.in",2,10.2287,1512146225027860480
"GEN-ER",150,134,"150_ep0.075_degree_erdos_7.in",3,61.9411,1512146235278819840
"GEN-ER",150,129,"150_ep0.075_degree_erdos_7.in",4,138.93,1512146297238826496
