"set","n","result","instance","D","runtime","seed"
"BBGRL",1000,1,"1000_ep0.0125_0_gilbert_10.in",10,10.9193,1503703079078847488
"BBGRL",1000,993,"1000_ep0.01_0_gilbert_8.in",1,64.0699,1503703091836059136
"BBGRL",1000,986,"1000_ep0.01_0_gilbert_8.in",2,86.1902,1503703157957034752
"BBGRL",1000,978,"1000_ep0.01_0_gilbert_8.in",3,167.3131,1503703245932796416
"BBGRL",1000,973,"1000_ep0.01_0_gilbert_8.in",4,166.772,1503703415034508800
"BBGRL",1000,969,"1000_ep0.01_0_gilbert_8.in",5,167.4279,1503703583712433152
"BBGRL",1000,960,"1000_ep0.01_0_gilbert_8.in",6,167.4294,1503703753086878976
"BBGRL",1000,953,"1000_ep0.01_0_gilbert_8.in",7,167.6329,1503703922450199808
"BBGRL",1000,2,"1000_ep0.01_0_gilbert_8.in",8,56.6385,1503704091994270976
"BBGRL",1000,1,"1000_ep0.01_0_gilbert_8.in",9,14.5346,1503704150420860672
"BBGRL",1000,1,"1000_ep0.01_0_gilbert_8.in",10,13.9357,1503704167061486080
"BBGRL",1000,994,"1000_ep0.01_0_gilbert_10.in",1,58.4238,1503704183035187712
"BBGRL",1000,989,"1000_ep0.01_0_gilbert_10.in",2,167.1573,1503704243526682368
"BBGRL",1000,983,"1000_ep0.01_0_gilbert_10.in",3,167.1565,1503704412626115584
"BBGRL",1000,976,"1000_ep0.01_0_gilbert_10.in",4,167.2203,1503704581634878208
"BBGRL",1000,970,"1000_ep0.01_0_gilbert_10.in",5,167.4967,1503704750653858560
"BBGRL",1000,965,"1000_ep0.01_0_gilbert_10.in",6,167.3509,1503704919936826880
"BBGRL",1000,958,"1000_ep0.01_0_gilbert_10.in",7,167.4392,1503705089336734208
"BBGRL",1000,953,"1000_ep0.01_0_gilbert_10.in",8,167.2468,1503705258611688448
"BBGRL",1000,941,"1000_ep0.01_0_gilbert_10.in",9,170.1584,1503705427750708224
"BBGRL",1000,2,"1000_ep0.01_0_gilbert_10.in",10,38.6869,1503705599951934464
"BBGRL",1000,993,"1000_ep0.01_0_gilbert_3.in",1,58.3064,1503705640423874048
"BBGRL",1000,987,"1000_ep0.01_0_gilbert_3.in",2,167.1471,1503705700771619584
"BBGRL",1000,981,"1000_ep0.01_0_gilbert_3.in",3,167.8606,1503705869705162752
"BBGRL",1000,976,"1000_ep0.01_0_gilbert_3.in",4,167.9417,1503706039461793280
"BBGRL",1000,965,"1000_ep0.01_0_gilbert_3.in",5,167.2218,1503706209452398592
